ENERGY,L,B,TIME
267.8296203613281,272.7624206542969,-15.299028396606445,243217175.02839497
266.6975402832031,273.8670959472656,-9.778353691101074,243217190.14551246
244.48202514648438,270.1177062988281,-14.592540740966797,243217217.29866838
470.0933532714844,270.5851745605469,-13.523542404174805,243217339.72691295
332.3583068847656,269.7499694824219,-19.260765075683594,243216776.1994024
120.05371856689453,270.1035461425781,-17.88140869140625,243216778.63040566
107.54154968261719,272.2320251464844,-19.713096618652344,243216795.29411885
130.26231384277344,268.3326416015625,-20.196334838867188,243216800.22349513
339.96826171875,271.9863586425781,-18.207958221435547,243216827.36772367
341.4307861328125,265.2850036621094,-17.959535598754883,243216956.7872506
826.5620727539062,264.39337158203125,-19.147140502929688,243216969.06601775
317.57550048828125,276.447509765625,-12.50497055053711,243216353.0196307
300.7492980957031,275.30126953125,-5.697297096252441,243216634.4164401
144.74917602539062,277.4421691894531,-13.24911117553711,243216775.23450375
802.33642578125,275.24932861328125,-6.610777378082275,243216775.75735372
147.7828826904297,275.5391540527344,-16.89668846130371,243216775.77187353
114.60432434082031,275.4884033203125,-10.683128356933594,243216776.08762828
136.42782592773438,275.3876647949219,-16.071781158447266,243216776.91674465
198.55001831054688,275.4315185546875,-14.598198890686035,243216781.95883578
568.0307006835938,277.5313415527344,-10.223505973815918,243216786.99904692
197.94285583496094,276.0049133300781,-14.720586776733398,243216787.55911613
594.896728515625,274.6044616699219,-10.195551872253418,243216789.4822289
225.5503692626953,276.4244384765625,-10.220464706420898,243216811.54203558
1005.4424438476562,279.5141296386719,-14.822080612182617,243216317.3446487
247.11302185058594,269.9941711425781,-7.5973286628723145,243216504.29073757
6654.17919921875,268.9477233886719,-6.3182783126831055,243216536.67139706
269.6233215332031,263.76190185546875,-14.553045272827148,243216626.00696018
265.9162292480469,266.0896911621094,-7.295699596405029,243216706.01703122
294.2823486328125,264.185302734375,-7.609462261199951,243216757.21536148
150.21218872070312,266.65216064453125,-12.193994522094727,243216771.26104507
358.8784484863281,270.54034423828125,-8.40688419342041,243216772.26931125
112.53289031982422,265.8669738769531,-11.67957878112793,243216772.49931324
177.46109008789062,264.0998229980469,-11.623997688293457,243216772.65955773
101.40718078613281,268.4909362792969,-5.630185127258301,243216774.582034
193.21588134765625,262.212158203125,-13.568949699401855,243216777.39755744
119.75045776367188,266.9774169921875,-7.112005233764648,243216781.15705717
119.35335540771484,264.8290100097656,-14.279391288757324,243216786.10386214
100.66967010498047,266.3360290527344,-11.713082313537598,243216786.5095893
374.5763244628906,265.46234130859375,-14.023416519165039,243216788.5908979
413.7735290527344,267.9129333496094,-11.71419906616211,243216788.99686798
124.82604217529297,267.337158203125,-10.871657371520996,243216789.16741297
876.7890014648438,266.1353454589844,-13.813593864440918,243216791.25390518
198.45175170898438,266.9487609863281,-11.579330444335938,243216793.63872468
106.07801055908203,268.840576171875,-10.58778190612793,243216796.31972626
336.9680480957031,266.52996826171875,-12.147564888000488,243216829.9003902
206.65890502929688,267.2970886230469,-7.122879505157471,243216859.71879596
292.89105224609375,265.49151611328125,-12.813628196716309,243217058.9255703
117.41871643066406,260.861083984375,-13.6193265914917,243216690.8185626
320.3526611328125,268.1108093261719,-4.699489593505859,243216300.01130527
573.1548461914062,271.46917724609375,-4.174281120300293,243216785.273498
602.2925415039062,269.8171691894531,-4.040283203125,243217355.48350155
